,estimate,ci_lower,ci_upper
overall_digital_presence,0.35149027054148985,0.2765831107231889,0.41069906625603897
twitter_log,0.07503431992031917,0.005466814977825874,0.14557100608811444
instagram_log,0.06319302348364778,-0.01044683199731016,0.13181875010484037
linkedin_log,0.38273122842107143,0.3155412771173323,0.45012624247293603
ceo_connections_log,0.242490849811561,0.1739715952431717,0.30201108105055796
ceo_connections_dummy,0.25149752660876235,0.18482425154170806,0.3194104826940904
articles_log,0.4945365260161187,0.4317164692851575,0.5505940916441708
