metric,type,spearman_rho,partial_rho_age,partial_rho_full_model,p_value_full,p_value_fdr,formatted_result
overall_digital_presence,Composite,0.3514902705414899,0.24167033055835424,0.1479527849120127,4.179607635733833e-05,0.00014628626725068418,0.15***
twitter_log,Social,0.07503431992031917,0.056837238468228635,0.057300122334114995,0.11424578513437417,0.13328674932343654,0.06
instagram_log,Social,0.06319302348364778,0.07516744641493993,0.05135257480109502,0.15700135576346386,0.15700135576346386,0.05
linkedin_log,Social,0.38273122842107143,0.20315251315556512,0.1149025753810966,0.0014981598732874643,0.0034957063710040833,0.11**
ceo_connections_log,Network,0.24249084981156097,0.1384693914135387,0.07272453864963349,0.044903845098113675,0.06286538313735915,0.07
ceo_connections_dummy,Network,0.2514975266087624,0.17945818859778623,0.09544150153848144,0.008424656530992104,0.014743148929236182,0.10*
articles_log,Media,0.4945365260161187,0.34456562397457174,0.210143320824358,4.8275620193493324e-09,3.379293413544533e-08,0.21***
