variable,coef,ci_lower,ci_upper
Intercept,10.053753207523517,7.401399632412458,12.706106782634576
C(startup_stage)[T.2],0.29759736462229647,-4.482540322680755,5.077735051925348
C(startup_stage)[T.3],-1.378950988487063,-17.94353242373992,15.185630446765796
overall_digital_presence,0.6214378639543938,-0.2129019397422608,1.4557776676510485
overall_digital_presence:C(startup_stage)[T.2],0.09202463292112362,-1.1583143562424403,1.3423636220846875
overall_digital_presence:C(startup_stage)[T.3],-0.32510995147498,-2.218033295939792,1.5678133929898321
age_log,-2.87843024612744,-4.571342235617787,-1.1855182566370932
age_log:C(startup_stage)[T.2],1.6668681524945104,-1.2047406717992204,4.538476976788241
age_log:C(startup_stage)[T.3],6.742133882049,-2.6094827365908646,16.093750500688863
articles_log,1.3728368049327004,0.5046276637253839,2.2410459461400167
articles_log:C(startup_stage)[T.2],-0.15684985411954383,-1.2684302063818484,0.9547304981427609
articles_log:C(startup_stage)[T.3],-0.7824705102637985,-2.524997243261428,0.9600562227338307
ceo_connections_log,-0.04131905961380078,-0.5204617690532994,0.4378236498256979
ceo_connections_log:C(startup_stage)[T.2],-0.5733306908319056,-1.4085511544453295,0.26188977278151826
ceo_connections_log:C(startup_stage)[T.3],-0.5164436010398008,-2.814038727029981,1.7811515249503795
ceo_connections_dummy,-0.6655993340874372,-2.752552044496864,1.4213533763219899
ceo_connections_dummy:C(startup_stage)[T.2],4.88271826600285,1.0732251217204292,8.692211410285271
ceo_connections_dummy:C(startup_stage)[T.3],2.4322646546392566,-8.813597167201277,13.67812647647979
