coefficient,estimate,ci_lower,ci_upper
Intercept,8.433174380132648,6.194043065794978,10.672305694470317
overall_digital_presence,0.4954063849712718,-0.14812117676756936,1.138933946710113
stage_dummy,0.24162783890380224,-16.904886292595354,17.38814197040296
overall_digital_presence:stage_dummy,-0.1990784724918372,-2.0791941865972516,1.681037241613577
age_log,-1.166599294845418,-2.543613314738298,0.2104147250474624
age_log:stage_dummy,5.030302930766997,-4.630403675910271,14.691009537444264
articles_log,1.8346281020420894,1.2953921339907761,2.3738640700934024
articles_log:stage_dummy,-1.2442618073731955,-2.905026170296195,0.41650255554980387
ceo_connections_log,-0.1332285468531454,-0.5353141584597272,0.26885706475343646
ceo_connections_log:stage_dummy,-0.42453411380046335,-2.7951300400308914,1.946061812429965
ceo_connections_dummy,1.4640847824626877,-0.33622451287695565,3.264394077802331
ceo_connections_dummy:stage_dummy,0.3025805380891491,-11.326643026610927,11.931804102789226
