Organization Name,Founded Date,Headquarters Location,Headquarters City,Headquarters State,baden_wuerttemberg,bayern,berlin,brandenburg,bremen,hamburg,hessen,mecklenburg_vorpommern,niedersachsen,nordrhein_westfalen,rheinland_pfalz,saarland,sachsen,sachsen_anhalt,schleswig_holstein,thueringen,Industries,industry,industrials,information_technology,communication_services,real_estate,financials,consumer_discretionary,web3_blockchain,health_care,materials,consumer_staples,other,utilities,energy,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,twitter,instagram,linkedin,ceo_connections,ceo_connections_dummy,Total Funding Currency,Total Funding Amount Clean,Last Funding Currency,Last Funding Amount Clean,fx,fx_source,fx_rate,total_funding,last_funding,age,funding_time_months,startup_stage,industry_clean
bliro,2022-04-05,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Software,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2023-03-10,,,,Bliro listens to business meetings and calls invisibly and extracts essential information with the help of AI.,AI,bliro AI startup website,0.0,0.0,993.0,500.0,1,,,,,1.06,historical,1.06,,,2,11,1,information_technology
wryte,2020-10-14,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, Education, Information Technology,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,3,"$1,038,855",Seed,2023-03-13,"$120,000",2.0,1.0,Wryte is a transcription app that connectsand masters all educational activities.,Apps,wryte Apps startup website,0.0,0.0,482.0,375.0,0,$,1038855.0,$,120000.0,1.07,historical,1.07,1111574.85,128400.0,4,28,2,information_technology
aimpower,2020-01-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"AI, Market Research,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€6,500,000",Series A,2023-03-13,"€6,500,000",1.0,2.0,"aimpower empowers brands to leverage the power of AI and automation to become better, faster and stronger.",AI,aimpower AI startup website,0.0,0.0,2000.0,500.0,1,€,6500000.0,€,6500000.0,1.07,historical,1.07,6500000.0,6500000.0,5,38,3,information_technology
amply,2023-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finance, Financial Services, FinTech,",Financials,0,0,0,0,1,0,0,0,0,0,0,0,0,11-50,1,"€170,000",Pre-Seed,2023-03-14,"€170,000",1.0,,Amply offers a workspace for small and medium-sized businesses (SMBs) to handle their various financial tasks in a single location.,Finance,amply Finance startup website,0.0,0.0,0.0,0.0,0,€,170000.0,€,170000.0,1.07,historical,1.07,170000.0,170000.0,2,2,1,financials
oculai,2021-07-20,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Computer Vision, Construction,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,2,"€2,500,000",Seed,2023-03-14,"€2,500,000",6.0,4.0,Oculai is a SaaS solution for camera-based data collection on construction sites using intelligent computer vision algorithms.,Computer Vision,oculai Computer Vision startup website,0.0,0.0,2000.0,500.0,1,€,2500000.0,€,2500000.0,1.07,historical,1.07,2500000.0,2500000.0,3,19,2,information_technology
Chaineducation Labs,2023-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Blockchain, Consulting, Continuing Education,,,",Web3/Blockchain,0,0,0,0,0,0,1,0,0,0,0,0,0,1-10,1,"€100,000",Seed,2023-03-15,"€100,000",,,Chaineducation Labs provides learning ecosystem that connects learners with industry experts and experience in blockchain technology.,Blockchain,Chaineducation Labs Blockchain startup website,39.0,35.0,222.0,500.0,1,€,100000.0,€,100000.0,1.07,historical,1.07,100000.0,100000.0,2,2,2,web3_blockchain
ClimateChoice,2020-04-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"B2B, Enterprise Software, Internet,,",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,11-50,2,"$2,000,000",Pre-Seed,2023-03-16,"$2,000,000",4.0,3.0,ClimateChoice provides the AI-first Climate Intelligence Platform to accelerate Scope 3 decarbonization.,B2B,ClimateChoice B2B startup website,362.0,886.0,17000.0,500.0,1,$,2000000.0,$,2000000.0,1.06,historical,1.06,2120000.0,2120000.0,4,35,1,industrials
Coqui,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Information Services, Information Technology,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"$3,300,000",Seed,2023-03-19,"$3,300,000",3.0,2.0,Coqui is a startup that provides open speech tech for everyone.,Information Services,Coqui Information Services startup website,0.0,0.0,2000.0,500.0,1,$,3300000.0,$,3300000.0,1.07,historical,1.07,3531000.0,3531000.0,4,26,2,information_technology
Mainteny,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Facility Management, Software",Real Estate,0,0,0,1,0,0,0,0,0,0,0,0,0,11-50,2,"$3,034,021",Seed,2023-03-20,"€2,700,000",4.0,,Mainteny helps facility management companies increase profit and service quality by providing digital tools for their everyday work.,Facility Management,Mainteny Facility Management startup website,0.0,0.0,6000.0,500.0,1,$,3034021.0,€,2700000.0,1.07,historical,1.07,3246402.47,2700000.0,5,38,2,real_estate
Lynty,2022-11-12,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Collaboration,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Seed,2023-03-20,,,,Lynty provides a range of interactive product suites designed to manage customer interactions,AI,Lynty AI startup website,0.0,0.0,29.0,314.0,0,,,,,1.07,historical,1.07,,,2,4,2,information_technology
RAKETENSTART,2021-07-01,"Cologne, Nordrhein-Westfalen,",Cologne,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Advice, Information Technology,,,,,,,",Financials,0,0,0,0,1,0,0,0,0,0,0,0,0,11-50,1,,Pre-Seed,2023-03-22,,5.0,1.0,RAKETENSTART is the all-in-one-legal solution for SMEs.,Advice,RAKETENSTART Advice startup website,0.0,0.0,4000.0,500.0,1,,,,,1.08,historical,1.08,,,3,20,1,financials
