Organization Name,Founded Date,Headquarters Location,Headquarters City,Headquarters State,baden_wuerttemberg,bayern,berlin,brandenburg,bremen,hamburg,hessen,mecklenburg_vorpommern,niedersachsen,nordrhein_westfalen,rheinland_pfalz,saarland,sachsen,sachsen_anhalt,schleswig_holstein,thueringen,Industries,industry,industrials,information_technology,communication_services,real_estate,financials,consumer_discretionary,web3_blockchain,health_care,materials,consumer_staples,other,utilities,energy,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,twitter,instagram,linkedin,ceo_connections,ceo_connections_dummy,Total Funding Currency,Total Funding Amount Clean,Last Funding Currency,Last Funding Amount Clean,fx,fx_source,fx_rate,total_funding,last_funding,age,funding_time_months,startup_stage,industry_clean
beeBlum,2020-02-20,"Wiesloch, Baden-Wurttemberg,",Wiesloch,Baden-Wurttemberg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B2B, Collaboration, Innovation Management,,,,",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€200,000",Pre-Seed,2019-10-04,"€200,000",,,Ideation & Knowledge work framework for agile teams and corporations,B2B,beeBlum B2B startup website,0.0,0.0,0.0,0.0,0,€,200000.0,€,200000.0,1.12,historical,1.12,200000.0,200000.0,4,0,1,industrials
meinAdmin,2020-01-01,"Leipzig, Sachsen, Germany",Leipzig,Sachsen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Information Technology, Machine Learning,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€280,000",Pre-Seed,2019-12-15,"€280,000",1.0,,meinAdmin provides AI driven managed services.,Information Technology,meinAdmin Information Technology startup website,0.0,130.0,22.0,303.0,0,€,280000.0,€,280000.0,1.12,historical,1.12,280000.0,280000.0,5,0,1,information_technology
boost,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Computer Vision,,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€120,000",Pre-Seed,2020-01-01,"€120,000",,,ai based personal fitness assistant,AI,boost AI startup website,0.0,0.0,23000.0,500.0,1,€,120000.0,€,120000.0,1.12,historical,1.12,120000.0,120000.0,5,0,1,information_technology
VAMOS.ai,2020-01-01,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Analytics, AI,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,,Seed,2020-01-01,,1.0,,VAMOS.ai offers video analytics and media optimization services.,Analytics,VAMOS.ai Analytics startup website,0.0,8.0,123.0,112.0,0,,,,,1.12,historical,1.12,,,5,0,2,information_technology
Sanos Group,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Consumer Applications, Health Care",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€250,000",Pre-Seed,2020-01-07,"€250,000",,,Technology enabled smoking cessation platform,Consumer Applications,Sanos Group Consumer Applications startup website,0.0,0.0,135.0,363.0,0,€,250000.0,€,250000.0,1.12,historical,1.12,250000.0,250000.0,5,0,1,information_technology
Samdock,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, CRM, Machine Learning,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€1,500,000",Seed,2020-02-01,"€1,500,000",1.0,1.0,"Samdock is a SaaS vendor for Sales Automation, Lead Management and CRM focused on the SMB market",Apps,Samdock Apps startup website,0.0,0.0,2000.0,500.0,1,€,1500000.0,€,1500000.0,1.11,historical,1.11,1500000.0,1500000.0,5,1,2,information_technology
Terranigma Solutions,2020-03-01,"Aachen, Nordrhein-Westfalen,",Aachen,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Machine Learning,Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€30,000",Pre-Seed,2020-03-01,"€30,000",1.0,,We bring your geological understanding to the next level.,Machine Learning,Terranigma Solutions Machine Learning startup website,107.0,0.0,754.0,500.0,1,€,30000.0,€,30000.0,1.11,historical,1.11,30000.0,30000.0,4,0,1,information_technology
U-Pax,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, Delivery Service, E-Commerce,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€1,000,000",Series A,2020-03-02,"€1,000,000",1.0,,U-Pax develops an app-based shopping platform that enables users to buy local products online.,Apps,U-Pax Apps startup website,0.0,145.0,0.0,0.0,0,€,1000000.0,€,1000000.0,1.11,historical,1.11,1000000.0,1000000.0,5,2,3,information_technology
Nonfig,2020-03-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"B2B, Content Marketing, Software",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2020-03-10,,,,Nonfig is a configuration management platform that unifies business configurations.,B2B,Nonfig B2B startup website,10.0,0.0,152.0,151.0,0,,,,,1.14,historical,1.14,,,4,0,1,industrials
MARA,2020-03-31,"Karlsruhe, Baden-Wurttemberg,",Karlsruhe,Baden-Wurttemberg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Analytics, AI,,,,,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€147,000",Pre-Seed,2020-04-01,"€147,000",1.0,,"Market research automation, SaaS, NLP, AI, consumer review analysis",Analytics,MARA Analytics startup website,0.0,0.0,3000.0,500.0,1,€,147000.0,€,147000.0,1.1,historical,1.1,147000.0,147000.0,4,0,1,information_technology
CooperHire,2020-02-12,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Internet, Marketplace, Software",Communication Services,0,0,1,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2020-04-04,,1.0,,CooperHire is a candidate-led job marketplace that aims to alleviate the agony and aggravation of looking for a new job.,Internet,CooperHire Internet startup website,0.0,0.0,2000.0,500.0,1,,,,,1.08,historical,1.08,,,4,1,1,communication_services
Yuaco,2020-06-20,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Information Services, Internet,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2020-05-25,,,,Fast and time-saving email for business people,Information Services,Yuaco Information Services startup website,0.0,0.0,114000.0,500.0,1,,,,,1.09,historical,1.09,,,4,0,1,information_technology
Truck Norris GmbH,2020-01-01,"Gröbers, Sachsen-Anhalt, Germany",Gröbers,Sachsen-Anhalt,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"AI, Audio,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,,Seed,2020-05-27,,1.0,,Akustische Alarmsysteme für LKWs: Sicherheit für Menschen und Waren.,AI,Truck Norris GmbH AI startup website,0.0,0.0,0.0,0.0,0,,,,,1.1,historical,1.1,,,5,4,2,information_technology
Infinite Devices,2020-05-01,"Magdeburg, Sachsen-Anhalt, Germany",Magdeburg,Sachsen-Anhalt,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Facility Management, Information Technology,,",Real Estate,0,0,0,1,0,0,0,0,0,0,0,0,0,11-50,2,"€1,460,000",Seed,2020-05-27,"€1,450,000",4.0,22.0,Smart facility management,Facility Management,Infinite Devices Facility Management startup website,0.0,0.0,0.0,0.0,0,€,1460000.0,€,1450000.0,1.1,historical,1.1,1460000.0,1450000.0,4,0,2,real_estate
Ecola Climo,2020-04-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, Information Technology,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2020-06-01,,,,With Ecola you can subscribe to climate action and start generating impact straight away.,Apps,Ecola Climo Apps startup website,0.0,0.0,0.0,0.0,0,,,,,1.11,historical,1.11,,,4,2,1,information_technology
valideffect,2020-01-01,"Aachen, Nordrhein-Westfalen,",Aachen,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Industrial, Information Technology,,,,",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2020-07-01,,1.0,,valideffect: SaaS platform for the digital assurance of personal industrial qualifications,Industrial,valideffect Industrial startup website,0.0,0.0,0.0,0.0,0,,,,,1.12,historical,1.12,,,5,5,1,industrials
essentry,2020-01-01,"Eschborn, Hessen, Germany",Eschborn,Hessen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"AI, B2B,,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,,Pre-Seed,2020-08-01,,1.0,,Making identity verification and access management more efficient and secure.,AI,essentry AI startup website,0.0,0.0,1000.0,500.0,1,,,,,1.18,historical,1.18,,,5,6,1,information_technology
ReachTeens,2020-04-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Cloud Computing, Cloud Data Services,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€50,000",Pre-Seed,2020-08-15,"€50,000",1.0,,Consulting media companies for Gen-Z,Cloud Computing,ReachTeens Cloud Computing startup website,0.0,0.0,40000.0,500.0,1,€,50000.0,€,50000.0,1.19,historical,1.19,50000.0,50000.0,4,4,1,information_technology
Legal Analytics GmbH,2020-08-01,"Hanover, Niedersachsen, Germany",Hanover,Niedersachsen,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Information Technology, Legal Tech,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,2,"€400,000",Seed,2020-09-01,"€250,000",,5.0,Legal Analytics helps clients check contracts through technology and legal services.,Information Technology,Legal Analytics GmbH Information Technology startup website,0.0,0.0,2000.0,500.0,1,€,400000.0,€,250000.0,1.19,historical,1.19,400000.0,250000.0,4,1,2,information_technology
The Story Market,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Content Creators,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2020-09-11,,1.0,,The Story Market provides content syndication and content analytics for publishers and content creators.,AI,The Story Market AI startup website,0.0,139.0,0.0,0.0,0,,,,,1.18,historical,1.18,,,5,8,1,information_technology
tracebloc,2020-09-29,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Enterprise Software,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2020-09-29,,2.0,,We help enterprises to easily identify and buy high-performance AI models for their specific use cases.,AI,tracebloc AI startup website,38.0,0.0,4000.0,500.0,1,,,,,1.17,historical,1.17,,,4,0,1,information_technology
ProcessM,2020-01-01,"Aachen, Nordrhein-Westfalen,",Aachen,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Business Intelligence, Data Integration,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€30,000",Pre-Seed,2020-10-01,"€30,000",1.0,,ProcessM provides process mining tools for microsoft power BI users.,Business Intelligence,ProcessM Business Intelligence startup website,0.0,599.0,228.0,177.0,0,€,30000.0,€,30000.0,1.17,historical,1.17,30000.0,30000.0,5,9,1,information_technology
mySHOEFITTER,2020-08-01,"Hamm, Nordrhein-Westfalen, Germany",Hamm,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"AI, E-Commerce,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2020-10-05,,1.0,,mySHOEFITTER is a biometric foot measurement technology for mobile devices.,AI,mySHOEFITTER AI startup website,0.0,0.0,1000.0,500.0,1,,,,,1.17,historical,1.17,,,4,2,1,information_technology
Hatchmate UG (haftungsbeschränkt),2020-10-13,"Villingen-schwenningen, Baden-Wurttemberg,",Villingen-schwenningen,Baden-Wurttemberg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, Software",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2020-10-13,,,,Social Video Networking App,Apps,Hatchmate UG (haftungsbeschränkt) Apps startup website,0.0,0.0,0.0,0.0,0,,,,,1.18,historical,1.18,,,4,0,1,information_technology
Acapela,2020-09-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Email, Real Time, Web Apps",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"$3,000,000",Seed,2020-10-22,"$3,000,000",3.0,1.0,"Acapela lets you take control of your notifications. Capture, filter and action them all from one place. Unblock your team twice as fast.",Email,Acapela Email startup website,982.0,0.0,3000.0,500.0,1,$,3000000.0,$,3000000.0,1.19,historical,1.19,3570000.0,3570000.0,4,1,2,information_technology
Geld und Wissen,2020-01-01,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Financial Services, FinTech, Software",Financials,0,0,0,0,1,0,0,0,0,0,0,0,0,1-10,1,"€300,000",Pre-Seed,2020-10-22,"€300,000",,,Geld und Wissen offers a software tool to sell more actively managed equity funds.,Financial Services,Geld und Wissen Financial Services startup website,0.0,0.0,29.0,294.0,0,€,300000.0,€,300000.0,1.19,historical,1.19,300000.0,300000.0,5,9,1,financials
EcoPhi Renewables Engineering GmbH,2020-01-01,"Karlsruhe, Baden-Wurttemberg,",Karlsruhe,Baden-Wurttemberg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asset Management, Renewable Energy,,",Financials,0,0,0,0,1,0,0,0,0,0,0,0,0,1-10,1,"€200,000",Pre-Seed,2020-11-01,"€200,000",1.0,,"Remote Monitoring and Control, Asset Managment",Asset Management,EcoPhi Renewables Engineering GmbH Asset Management startup website,0.0,0.0,3000.0,500.0,1,€,200000.0,€,200000.0,1.16,historical,1.16,200000.0,200000.0,5,10,1,financials
Carmino,2020-01-01,"Potsdam, Brandenburg, Germany",Potsdam,Brandenburg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"B2B, Data Collection and Labeling,,,,",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€350,000",Pre-Seed,2020-11-01,"€350,000",,,Carmino provides a solution for automated data collection and carbon accounting for employees.,B2B,Carmino B2B startup website,0.0,116.0,0.0,0.0,0,€,350000.0,€,350000.0,1.16,historical,1.16,350000.0,350000.0,5,10,1,industrials
ApplyZ GmbH I Talk'n'Job,2020-09-09,"Heidelberg, Baden-Wurttemberg,",Heidelberg,Baden-Wurttemberg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Human Resources, Information Technology,,,",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,11-50,2,"€800,000",Seed,2020-11-10,"€800,000",1.0,12.0,Talk’n’Job is a 100% voice-driven job application using mobile devices | Conversion Booster,Human Resources,ApplyZ GmbH I Talk'n'Job Human Resources startup website,352.0,0.0,2000.0,500.0,1,€,800000.0,€,800000.0,1.18,historical,1.18,800000.0,800000.0,4,2,2,industrials
HARPOCRATES Solutions,2020-04-14,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Automotive, Banking, Cloud Computing,,,,,,,",Consumer Discretionary,0,0,0,0,0,1,0,0,0,0,0,0,0,1-10,2,,Pre-Seed,2020-11-19,,2.0,21.0,"Provider of Forward Compliance for B2B and B2C Customers in context of GDPR, Basel III/IV and other regulations and contract understanding.",Automotive,HARPOCRATES Solutions Automotive startup website,0.0,0.0,236.0,190.0,0,,,,,1.18,historical,1.18,,,4,7,1,consumer_discretionary
Wonder,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Meeting Software, Social Media,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,2,"$12,200,000",Seed,2020-12-07,"$11,000,000",2.0,,Wonder is a virtual space where people can meet and talk.,Meeting Software,Wonder Meeting Software startup website,477.0,0.0,4000.0,0.0,0,$,12200000.0,$,11000000.0,1.21,historical,1.21,14762000.0,13310000.0,5,11,2,information_technology
Journeyman,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Career Planning, Communities,,,,",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,11-50,1,,Pre-Seed,2020-12-15,,2.0,1.0,The leading career - and workforce management platform for the skilled trades,Career Planning,Journeyman Career Planning startup website,12.0,0.0,1000.0,500.0,1,,,,,1.21,historical,1.21,,,5,11,1,industrials
"sooley - insoles, your way",2021-01-01,"Konstanz, Baden-Wurttemberg,",Konstanz,Baden-Wurttemberg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Digital Marketing, Health Diagnostics,,",Communication Services,0,0,1,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2020-12-31,,1.0,,"B2B/B2C, Our revolutionary 3D scanning app empowers millions worldwide to obtain custom insoles directly",Digital Marketing,"sooley - insoles, your way Digital Marketing startup website",0.0,0.0,276.0,288.0,0,,,,,1.23,historical,1.23,,,4,0,1,communication_services
benchANT,2021-01-01,"Ulm, Baden-Wurttemberg, Germany",Ulm,Baden-Wurttemberg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SaaS,Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€950,000",Pre-Seed,2021-01-01,"€950,000",1.0,,Cloud Database Benchmarking-as-a-Service Platform,SaaS,benchANT SaaS startup website,0.0,0.0,630.0,500.0,1,€,950000.0,€,950000.0,1.22,historical,1.22,950000.0,950000.0,4,0,1,information_technology
Abowire,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Information Technology, Internet,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,,Pre-Seed,2021-01-01,,1.0,,Abowire is an expert-driven solution to scale your recurring revenue. We fast-track your journey to subscription success.,Information Technology,Abowire Information Technology startup website,0.0,0.0,168.0,500.0,1,,,,,1.22,historical,1.22,,,5,12,1,information_technology
Onstruc,2020-10-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, Construction, Document Management,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€550,000",Pre-Seed,2021-01-01,"€550,000",,,Onstruc developed software to simplify process documentation and supervision in the building industry.,Apps,Onstruc Apps startup website,0.0,0.0,2000.0,500.0,1,€,550000.0,€,550000.0,1.22,historical,1.22,550000.0,550000.0,4,3,1,information_technology
Priv,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Privacy,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Seed,2021-01-01,,,,An AI-driven platform that empowers organisations to become privacy compliant.,AI,Priv AI startup website,0.0,0.0,0.0,0.0,0,,,,,1.22,historical,1.22,,,4,0,2,information_technology
Alethea,2021-01-01,"Düsseldorf, Nordrhein-Westfalen,",Düsseldorf,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Software,Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2021-01-11,,1.0,4.0,Workflow software for the corporate finance industry,Software,Alethea Software startup website,0.0,0.0,0.0,0.0,0,,,,,1.22,historical,1.22,,,4,0,1,information_technology
Bird Eats Bug,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Collaboration, Developer Tools,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€1,500,000",Pre-Seed,2021-01-14,"€1,500,000",1.0,5.0,Bird Eats Bug helps to report and fix bugs much faster.,Collaboration,Bird Eats Bug Collaboration startup website,252.0,0.0,830.0,500.0,1,€,1500000.0,€,1500000.0,1.22,historical,1.22,1500000.0,1500000.0,5,12,1,information_technology
Mimetik,2020-01-01,"Dresden, Sachsen, Germany",Dresden,Sachsen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Software,Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2021-01-25,,1.0,1.0,Mimetik is s a software startup for seamless interactions with millions of devices.,Software,Mimetik Software startup website,0.0,0.0,877.0,500.0,1,,,,,1.22,historical,1.22,,,5,12,1,information_technology
Creatext,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Information Technology,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"$120,000",Pre-Seed,2021-01-25,"$120,000",1.0,,Creatext is a Berlin-based team of AI engineers building a “GitHub Copilot for salespeople”.,AI,Creatext AI startup website,0.0,13.0,11.0,0.0,0,$,120000.0,$,120000.0,1.22,historical,1.22,146400.0,146400.0,5,12,1,information_technology
autoRetouch,2020-01-31,"Stuttgart, Baden-Wurttemberg,",Stuttgart,Baden-Wurttemberg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, E-Commerce,,,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€3,200,000",Seed,2021-01-26,"€3,200,000",1.0,,autoRetouch is the AI-powered image editing platform.,AI,autoRetouch AI startup website,0.0,0.0,0.0,0.0,0,€,3200000.0,€,3200000.0,1.21,historical,1.21,3200000.0,3200000.0,4,11,2,information_technology
payactive,2020-05-01,"Dresden, Sachsen, Germany",Dresden,Sachsen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"FinTech, Payments, Social Impact,,",Financials,0,0,0,0,1,0,0,0,0,0,0,0,0,1-10,1,"€625,000",Pre-Seed,2021-02-01,"€625,000",,,Sustainable Payment Platform,FinTech,payactive FinTech startup website,1688.0,1311.0,2000.0,500.0,1,€,625000.0,€,625000.0,1.21,historical,1.21,625000.0,625000.0,4,9,1,financials
Civical,2020-11-27,"Moabit, Berlin, Germany",Moabit,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Data Integration, Data Visualization,,,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2021-02-07,,2.0,,Civical is SaaS market leader in Germany for politics and non-profit,Data Integration,Civical Data Integration startup website,0.0,0.0,12000.0,500.0,1,,,,,1.2,historical,1.2,,,4,2,1,information_technology
Skytale,2020-12-09,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Blockchain, Cryptocurrency, Financial Services,",Web3/Blockchain,0,0,0,0,0,0,1,0,0,0,0,0,0,1-10,1,,Pre-Seed,2021-02-15,,,4.0,Enterprise-grade crypto asset tracking and financial platform,Blockchain,Skytale Blockchain startup website,0.0,0.0,3000.0,500.0,1,,,,,1.21,historical,1.21,,,4,2,1,web3_blockchain
credium,2020-06-02,"Augsburg, Bayern, Germany",Augsburg,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Analytics, AI,,,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,,Pre-Seed,2021-02-24,,1.0,,credium is an AI-company that concentrates on building analytics.,Analytics,credium Analytics startup website,0.0,226.0,2000.0,500.0,1,,,,,1.22,historical,1.22,,,4,8,1,information_technology
Unosecur,2021-02-18,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"B2B, Cloud Security, Enterprise Software,",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2021-03-01,,1.0,,Cloud Identity Threat Detection and Response Platform,B2B,Unosecur B2B startup website,0.0,0.0,561.0,500.0,1,,,,,1.21,historical,1.21,,,3,0,1,industrials
heronOS,2020-05-27,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Information Technology,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€250,000",Pre-Seed,2021-03-01,"€250,000",1.0,,HeronOS is an information technology company.,AI,heronOS AI startup website,0.0,0.0,690.0,500.0,1,€,250000.0,€,250000.0,1.21,historical,1.21,250000.0,250000.0,4,9,1,information_technology
TOOLUP,2021-01-02,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Identity Management, Productivity Tools,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2021-03-01,,,,"TOOLUP is a SaaS tools, identity, and invoice management app.",Identity Management,TOOLUP Identity Management startup website,0.0,0.0,0.0,0.0,0,,,,,1.21,historical,1.21,,,4,1,1,information_technology
Field,2020-04-22,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Enterprise Software, Product Management,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€500,000",Pre-Seed,2021-03-01,"€500,000",,,"SaaS for product teams to establish context awareness, sensemaking and strategic thinking at all levels",Enterprise Software,Field Enterprise Software startup website,0.0,0.0,687.0,500.0,1,€,500000.0,€,500000.0,1.21,historical,1.21,500000.0,500000.0,4,10,1,information_technology
heyday,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Software,Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€1,000,000",Pre-Seed,2021-03-10,"€1,000,000",3.0,,heyday is an innovative software solution for the optimization and administration of employee benefits.,Software,heyday Software startup website,0.0,77.0,2000.0,500.0,1,€,1000000.0,€,1000000.0,1.19,historical,1.19,1000000.0,1000000.0,5,14,1,information_technology
DingoDot,2021-02-04,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Accounting, AI,,,,,,,,",Financials,0,0,0,0,1,0,0,0,0,0,0,0,0,11-50,2,"€507,000",Pre-Seed,2021-03-11,"€500,000",3.0,3.0,Virtual CFO for SMBs: Time is Money. Get Both. Automate payments nad make cash work. #fintech #SaaS #AI #crypto #B2B #openbanking #PSD2,Accounting,DingoDot Accounting startup website,13.0,127.0,683.0,3.0,0,€,507000.0,€,500000.0,1.19,historical,1.19,507000.0,500000.0,3,1,1,financials
