,estimate,ci_lower,ci_upper
overall_digital_presence,0.3837799323804924,0.31466549665055776,0.44868215532201416
twitter,0.07503431992031917,0.0027997438251077546,0.15092131498881295
instagram,0.06319302348364778,-0.006439999856594521,0.13524394955975935
linkedin,0.38273122842107143,0.3204636993849301,0.45221812007233014
ceo_connections,0.242490849811561,0.1728414512280962,0.3034406274789177
ceo_connections_dummy,0.25149752660876235,0.18655893369813664,0.3098652665813789
Number of Articles,0.4945365260161187,0.4339522625031756,0.5559976031911728
