Platform,Pearson r,Pearson p,Spearman ρ,Spearman p
Twitter Followers (log),0.06,0.118,0.08,0.039
Instagram Followers (log),0.08,0.036,0.06,0.081
LinkedIn Followers (log),0.20,0.000,0.38,0.000
Digital Presence Composite (log),0.24,0.000,0.38,0.000
CEO Connections (500+ dummy),0.18,0.000,-,-
