,twitter_log,instagram_log,linkedin_log,ceo_connections_log,ceo_connections_dummy,total_funding_log,articles_log,age_log,overall_digital_presence_log
twitter_log,1.0,0.02842762757725055,0.04277934929530164,-0.021337935717807073,0.01260955526414712,0.05673139586909513,0.19258960844103068,-0.006132328210676873,0.40482799978664497
instagram_log,0.028427627577250533,1.0,0.07988187118343074,0.06855440961049383,0.0935743859228855,0.07586731116927184,0.06368079027176786,0.05064190186602227,0.44856889823877333
linkedin_log,0.04277934929530161,0.07988187118343074,1.0,0.8355587610613086,0.7664643194458964,0.20366284224521458,0.22152052047616871,0.10706670758083559,0.8170222180959404
ceo_connections_log,-0.021337935717807077,0.06855440961049383,0.8355587610613084,1.0,0.8123484165653124,0.13902695312642738,0.12069783859124583,0.0449279297414779,0.7596195380719877
ceo_connections_dummy,0.01260955526414711,0.09357438592288549,0.7664643194458964,0.8123484165653125,1.0,0.18011320779653628,0.19403192696635724,0.10537490790871176,0.6956699563413615
total_funding_log,0.05673139586909512,0.07586731116927181,0.20366284224521455,0.13902695312642738,0.18011320779653633,1.0,0.3442521231097907,0.01591208635725773,0.2420456622588061
articles_log,0.19258960844103068,0.06368079027176787,0.2215205204761687,0.12069783859124583,0.1940319269663572,0.3442521231097907,1.0,0.1067432042193089,0.3915079816723167
age_log,-0.006132328210676886,0.050641901866022285,0.10706670758083559,0.04492792974147792,0.1053749079087117,0.015912086357257743,0.10674320421930891,1.0,0.0967453777851761
overall_digital_presence_log,0.40482799978664497,0.4485688982387732,0.8170222180959404,0.7596195380719877,0.6956699563413615,0.24204566225880608,0.3915079816723167,0.09674537778517608,1.0
