Organization Name,Founded Date,Headquarters Location,Headquarters City,Headquarters State,baden_wuerttemberg,bayern,berlin,brandenburg,bremen,hamburg,hessen,mecklenburg_vorpommern,niedersachsen,nordrhein_westfalen,rheinland_pfalz,saarland,sachsen,sachsen_anhalt,schleswig_holstein,thueringen,Industries,industry,industrials,information_technology,communication_services,real_estate,financials,consumer_discretionary,web3_blockchain,health_care,materials,consumer_staples,other,utilities,energy,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,twitter,instagram,linkedin,ceo_connections,ceo_connections_dummy,Total Funding Currency,Total Funding Amount Clean,Last Funding Currency,Last Funding Amount Clean,fx,fx_source,fx_rate,total_funding,last_funding,age,funding_time_months,startup_stage,industry_clean,twitter_log,instagram_log,linkedin_log,ceo_connections_log,total_funding_log,articles_log,funding_time_months_log,age_log
TransactionLink,2020-09-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Banking, Financial Services, FinTech,,",Financials,0,0,0,0,1,0,0,0,0,0,0,0,0,11-50,2,"€6,200,000",Seed,2023-10-11,"€5,000,000",3.0,36.0,No-code automation platform for building delightful onboarding for FinTechs.,Banking,TransactionLink Banking startup website,10.0,0.0,1000.0,500.0,1,€,6200000.0,€,5000000.0,1.06,historical,1.06,6200000.0,5000000.0,4,37,2,financials,2.3978952727983707,0.0,6.90875477931522,6.2166061010848646,15.64006001130563,3.6109179126442243,3.6375861597263857,1.6094379124341003
Rocket Tutor,2022-07-14,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, AI,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,2,"€1,000,000",Pre-Seed,2023-10-16,"€1,000,000",3.0,0.0,Rocket Tutor creates learning strategies for arithmetic students based on their specific requirements.,Apps,Rocket Tutor Apps startup website,0.0,0.0,1000.0,500.0,1,€,1000000.0,€,1000000.0,1.05,historical,1.05,1000000.0,1000000.0,2,15,1,information_technology,0.0,0.0,6.90875477931522,6.2166061010848646,13.815511557963774,0.0,2.772588722239781,1.0986122886681098
Nala Earth,2023-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Water, Web Development",Utilities,0,0,0,0,0,0,0,0,0,0,0,1,0,1-10,1,"€1,700,000",Pre-Seed,2023-10-18,"€1,700,000",7.0,9.0,Nala Earth provides data and tools that enable businesses to better understand and connect with the natural world.,Water,Nala Earth Water startup website,0.0,469.0,5000.0,500.0,1,€,1700000.0,€,1700000.0,1.06,historical,1.06,1700000.0,1700000.0,2,9,1,utilities,0.0,6.152732694704104,8.517393171418904,6.2166061010848646,14.346139397261565,2.302585092994046,2.302585092994046,1.0986122886681098
Circadian Technologies GmbH,2021-08-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Energy Management, Internet of Things,",Utilities,0,0,0,0,0,0,0,0,0,0,0,1,0,11-50,2,"€1,600,000",Seed,2023-10-18,"€1,250,000",7.0,1.0,Accelerating the energy transition by transforming decentralized energy for businesses in frontier markets,Energy Management,Circadian Technologies GmbH Energy Management startup website,0.0,0.0,2000.0,500.0,1,€,1600000.0,€,1250000.0,1.06,historical,1.06,1600000.0,1250000.0,3,26,2,utilities,0.0,0.0,7.601402334583733,6.2166061010848646,14.285514812209815,0.6931471805599453,3.295836866004329,1.3862943611198906
Tiptap,2022-12-07,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, Information Technology,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"$2,615,000",Seed,2023-10-19,"$2,615,000",4.0,0.0,Tiptap is the developer toolkit for building collaborative apps.,Apps,Tiptap Apps startup website,0.0,0.0,3000.0,500.0,1,$,2615000.0,$,2615000.0,1.05,historical,1.05,2745750.0,2745750.0,2,10,2,information_technology,0.0,0.0,8.006700845440367,6.2166061010848646,14.825565183849744,0.0,2.3978952727983707,1.0986122886681098
Advoria,2023-08-29,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Legal,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,0.0,Pre-Seed,2023-10-19,0.0,0.0,0.0,Online appointment booking for the successful law firm.,AI,Advoria AI startup website,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.05,historical,1.05,0.0,0.0,1,1,1,information_technology,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453
VisionAI,2021-01-12,"Bielefeld, Nordrhein-Westfalen,",Bielefeld,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"AI, E-Commerce,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,51-100,3,"€6,300,000",Seed,2023-10-20,"€5,000,000",11.0,11.0,VisionAI® is a rebellious research lab based in the Teutoburg forest.,AI,VisionAI AI startup website,0.0,339.0,2000.0,500.0,1,€,6300000.0,€,5000000.0,1.06,historical,1.06,6300000.0,5000000.0,4,33,2,information_technology,0.0,5.8289456176102075,7.601402334583733,6.2166061010848646,15.656060350091908,2.4849066497880004,3.5263605246161616,1.6094379124341003
Enefty Technologies,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Blockchain, Web3",Web3/Blockchain,0,0,0,0,0,0,1,0,0,0,0,0,0,1-10,2,"$400,000",Pre-Seed,2023-10-21,"$200,000",3.0,0.0,Next generation loyalty memberships for brands powered by web3,Blockchain,Enefty Technologies Blockchain startup website,291.0,0.0,0.0,0.0,0,$,400000.0,$,200000.0,1.06,historical,1.06,424000.0,212000.0,4,33,1,web3_blockchain,5.676753802268282,0.0,0.0,0.0,12.95749109270188,0.0,3.5263605246161616,1.6094379124341003
ZenML,2021-07-06,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Enterprise Software, Fraud Detection,,,,,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,2,"$6,400,000",Seed,2023-10-23,"$3,700,000",14.0,19.0,"an extensible, open-source MLOps framework for reproducible ML",Enterprise Software,ZenML Enterprise Software startup website,0.0,0.0,7000.0,500.0,1,$,6400000.0,$,3700000.0,1.06,historical,1.06,6784000.0,3922000.0,3,27,2,information_technology,0.0,0.0,8.853808274977197,6.2166061010848646,15.730077603859526,2.995732273553991,3.332204510175204,1.3862943611198906
Goodbytz,2021-01-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Assistive Technology, Cooking,",Health Care,0,0,0,0,0,0,0,1,0,0,0,0,0,11-50,2,"€14,500,000",Series A,2023-10-24,"€12,000,000",2.0,16.0,Goodbytz creates intelligent robotic kitchen assistants that give chefs more time and creative freedom.,Assistive Technology,Goodbytz Assistive Technology startup website,0.0,0.0,3000.0,500.0,1,€,14500000.0,€,12000000.0,1.07,historical,1.07,14500000.0,12000000.0,4,33,3,health_care,0.0,0.0,8.006700845440367,6.2166061010848646,16.489659276356317,2.833213344056216,3.5263605246161616,1.6094379124341003
